Data da Venda,Mês,Região,Vendedor,Código Vendedor,Vendas
2018-05-01,MAI,Nordeste,Raquel,7,4651.74
2018-03-09,MAR,Norte,Roberta,4,6027.12
2018-02-15,FEV,Sudeste,Renata,5,16931.52
2018-02-21,FEV,Sudeste,Roberta,4,3748.41
2018-05-27,MAI,Sul,Rodrigo,3,8309.72
2018-05-07,MAI,Norte,Ronaldo,8,8867.62
2018-05-14,MAI,Norte,Ronaldo,8,5270.18
2018-03-10,MAR,Sul,Roberta,4,6472.34
2018-03-10,MAR,Norte,Ricardo,2,1466.53
2018-05-14,MAI,Nordeste,Roberta,4,19228.1
2018-03-09,MAR,Sudeste,Raquel,7,5888.57
2018-01-09,JAN,Sudeste,Roberto,1,5511.07
2018-03-27,MAR,Norte,Ronaldo,8,19228.1
2018-01-19,JAN,Sudeste,Roberta,4,4146.87
2018-01-14,JAN,Norte,Ricardo,2,4758.32
2018-03-14,MAR,Sul,Rodrigo,3,8886.11
2018-02-25,FEV,Nordeste,Roberto,1,7173.95
2018-05-25,MAI,Nordeste,Rodrigo,3,4882.81
2018-04-14,ABR,Norte,Rodrigo,3,2621.17
